iter	Passed	Remaining
418	2505	3474
419	2511	3468
420	2516	3460
421	2523	3456
422	2530	3451
423	2534	3443
424	2542	3439
425	2547	3432
426	2553	3425
427	2559	3421
428	2566	3415
429	2572	3409
430	2576	3401
431	2580	3393
432	2584	3384
433	2591	3380
434	2596	3372
435	2603	3367
436	2609	3361
437	2616	3357
438	2623	3352
439	2627	3344
440	2634	3338
441	2641	3335
442	2647	3329
443	2651	3320
444	2657	3314
445	2663	3308
446	2669	3302
447	2674	3295
448	2680	3289
449	2684	3280
450	2691	3275
451	2696	3269
452	2702	3263
453	2708	3257
454	2712	3249
455	2716	3240
456	2722	3235
457	2727	3227
458	2731	3219
459	2734	3210
460	2738	3202
461	2742	3193
462	2746	3185
463	2751	3178
464	2757	3172
465	2762	3165
466	2766	3157
467	2772	3151
468	2778	3145
469	2784	3139
470	2788	3132
471	2792	3124
472	2797	3117
473	2801	3108
474	2808	3103
475	2812	3095
476	2818	3090
477	2822	3082
478	2830	3078
479	2834	3070
480	2838	3062
481	2843	3055
482	2847	3048
483	2852	3040
484	2856	3033
485	2860	3025
486	2864	3017
487	2868	3009
488	2872	3001
489	2876	2993
490	2880	2986
491	2884	2978
492	2889	2971
493	2892	2962
494	2896	2955
495	2902	2949
496	2907	2942
497	2913	2936
498	2919	2930
499	2924	2924
500	2929	2917
501	2935	2912
502	2942	2907
503	2946	2899
504	2950	2891
505	2953	2883
506	2958	2877
507	2965	2872
508	2969	2864
509	2975	2858
510	2979	2851
511	2983	2843
512	2988	2836
513	2992	2829
514	2996	2822
515	3002	2816
516	3006	2809
517	3010	2801
518	3016	2795
519	3022	2789
520	3029	2785
521	3033	2777
522	3036	2769
523	3041	2762
524	3045	2755
525	3049	2748
526	3053	2740
527	3060	2735
528	3064	2728
529	3068	2721
530	3073	2714
531	3077	2707
532	3084	2702
533	3088	2694
534	3092	2687
535	3096	2680
536	3100	2673
537	3104	2665
538	3108	2658
539	3112	2651
540	3119	2646
541	3124	2640
542	3128	2633
543	3135	2628
544	3139	2620
545	3143	2613
546	3149	2607
547	3155	2602
548	3160	2596
549	3166	2590
550	3170	2583
551	3174	2576
552	3178	2569
553	3182	2562
554	3186	2555
555	3190	2548
556	3195	2541
557	3199	2534
558	3203	2527
559	3207	2520
560	3211	2513
561	3215	2506
562	3222	2501
563	3226	2494
564	3230	2487
565	3234	2480
566	3238	2473
567	3241	2465
568	3246	2459
569	3251	2453
570	3256	2446
571	3260	2439
572	3267	2434
573	3271	2428
574	3276	2421
575	3282	2416
576	3287	2410
577	3292	2403
578	3295	2396
579	3300	2389
580	3304	2383
581	3308	2376
582	3312	2369
583	3317	2363
584	3321	2356
585	3325	2349
586	3329	2342
587	3333	2335
588	3337	2328
589	3341	2321
590	3345	2315
591	3349	2308
592	3354	2302
593	3358	2295
594	3362	2288
595	3368	2283
596	3372	2276
597	3376	2269
598	3380	2263
599	3386	2257
600	3390	2251
601	3394	2244
602	3398	2237
603	3402	2230
604	3405	2223
605	3409	2217
606	3413	2210
607	3419	2204
608	3423	2198
609	3427	2191
610	3431	2184
611	3435	2178
612	3440	2171
613	3444	2165
614	3447	2158
615	3451	2151
616	3458	2146
617	3462	2140
618	3466	2133
619	3470	2127
620	3474	2120
621	3479	2114
622	3483	2107
623	3487	2101
624	3491	2095
625	3495	2088
626	3502	2083
627	3506	2077
628	3510	2070
629	3514	2064
630	3518	2057
631	3525	2052
632	3529	2046
633	3533	2039
634	3537	2033
635	3541	2027
636	3545	2020
637	3549	2014
638	3554	2007
639	3558	2001
640	3562	1995
641	3566	1988
642	3570	1982
643	3574	1976
644	3578	1969
645	3582	1963
646	3587	1957
647	3591	1950
648	3595	1944
649	3599	1938
650	3605	1932
651	3609	1926
652	3613	1920
653	3618	1914
654	3622	1907
655	3626	1901
656	3630	1895
657	3635	1889
658	3639	1883
659	3644	1877
660	3648	1871
661	3652	1864
662	3657	1859
663	3662	1853
664	3666	1846
665	3670	1840
666	3674	1834
667	3678	1828
668	3682	1821
669	3686	1815
670	3690	1809
671	3695	1803
672	3699	1797
673	3703	1791
674	3707	1785
675	3712	1779
676	3717	1773
677	3721	1767
678	3725	1761
679	3730	1755
680	3734	1749
681	3738	1743
682	3743	1737
683	3749	1732
684	3755	1727
685	3759	1720
686	3763	1714
687	3769	1709
688	3773	1703
689	3777	1697
690	3781	1691
691	3786	1685
692	3790	1679
693	3794	1673
694	3799	1667
695	3803	1661
696	3807	1655
697	3811	1649
698	3816	1643
699	3819	1637
700	3824	1631
701	3828	1625
702	3832	1619
703	3836	1613
704	3841	1607
705	3846	1601
706	3852	1596
707	3857	1590
708	3861	1585
709	3867	1579
710	3872	1573
711	3876	1567
712	3882	1562
713	3886	1556
714	3891	1551
715	3894	1544
716	3899	1539
717	3903	1533
718	3908	1527
719	3914	1522
720	3918	1516
721	3922	1510
722	3926	1504
723	3930	1498
724	3937	1493
725	3941	1487
726	3946	1482
727	3951	1476
728	3955	1470
729	3959	1464
730	3963	1458
731	3967	1452
732	3971	1446
733	3977	1441
734	3982	1435
735	3986	1429
736	3990	1424
737	3995	1418
738	4000	1412
739	4004	1407
740	4009	1401
741	4014	1395
742	4018	1389
743	4022	1383
744	4026	1378
745	4030	1372
746	4034	1366
747	4038	1360
748	4042	1354
749	4047	1349
750	4050	1343
751	4054	1337
752	4058	1331
753	4062	1325
754	4066	1319
755	4070	1313
756	4074	1307
757	4078	1302
758	4082	1296
759	4086	1290
760	4090	1284
761	4094	1278
762	4098	1273
763	4102	1267
764	4106	1261
765	4110	1255
766	4114	1249
767	4118	1244
768	4122	1238
769	4126	1232
770	4130	1226
771	4134	1221
772	4139	1215
773	4142	1209
774	4146	1203
775	4150	1198
776	4154	1192
777	4159	1186
778	4162	1180
779	4166	1175
780	4171	1169
781	4175	1163
782	4180	1158
783	4184	1152
784	4188	1147
785	4192	1141
786	4196	1135
787	4200	1130
788	4203	1124
789	4207	1118
790	4212	1112
791	4216	1107
792	4220	1101
793	4224	1096
794	4229	1090
795	4233	1085
796	4237	1079
797	4242	1073
798	4246	1068
799	4249	1062
800	4253	1056
801	4257	1051
802	4262	1045
803	4266	1039
804	4270	1034
805	4274	1028
806	4279	1023
807	4282	1017
808	4286	1012
809	4290	1006
810	4294	1000
811	4299	995
812	4302	989
813	4307	984
814	4311	978
815	4314	972
816	4318	967
817	4322	961
818	4326	956
819	4330	950
820	4334	944
821	4337	939
822	4341	933
823	4346	928
824	4350	922
825	4354	917
826	4358	911
827	4365	906
828	4372	901
829	4376	896
830	4380	890
831	4384	885
832	4388	879
833	4394	874
834	4398	869
835	4402	863
836	4406	858
837	4410	852
838	4414	847
839	4421	842
840	4426	836
841	4430	831
842	4434	825
843	4439	820
844	4443	815
845	4447	809
846	4452	804
847	4455	798
848	4460	793
849	4465	787
850	4469	782
851	4475	777
852	4479	771
853	4483	766
854	4488	761
855	4492	755
856	4496	750
857	4501	744
858	4505	739
859	4509	734
860	4513	728
861	4518	723
862	4522	717
863	4527	712
864	4532	707
865	4536	701
866	4540	696
867	4544	691
868	4549	685
869	4553	680
870	4557	674
871	4561	669
872	4565	664
873	4571	659
874	4574	653
875	4579	648
876	4583	642
877	4587	637
878	4591	632
879	4595	626
880	4599	621
881	4603	615
882	4607	610
883	4611	605
884	4616	599
885	4620	594
886	4624	589
887	4628	583
888	4632	578
889	4636	573
890	4640	567
891	4644	562
892	4648	557
893	4652	551
894	4658	546
895	4662	541
896	4666	535
897	4671	530
898	4678	525
899	4682	520
900	4686	514
901	4691	509
902	4697	504
903	4701	499
904	4705	493
905	4710	488
906	4713	483
907	4717	478
908	4722	472
909	4726	467
910	4730	462
911	4734	456
912	4740	451
913	4744	446
914	4749	441
915	4753	435
916	4757	430
917	4760	425
918	4765	420
919	4769	414
920	4773	409
921	4777	404
922	4782	398
923	4786	393
924	4790	388
925	4794	383
926	4798	377
927	4802	372
928	4807	367
929	4812	362
930	4816	356
931	4820	351
932	4824	346
933	4829	341
934	4833	336
935	4837	330
936	4841	325
937	4846	320
938	4850	315
939	4855	309
940	4859	304
941	4863	299
942	4868	294
943	4872	289
944	4876	283
945	4880	278
946	4884	273
947	4889	268
948	4896	263
949	4900	257
950	4904	252
951	4908	247
952	4912	242
953	4917	237
954	4921	231
955	4926	226
956	4930	221
957	4935	216
958	4938	211
959	4943	205
960	4948	200
961	4952	195
962	4958	190
963	4962	185
964	4967	180
965	4971	174
966	4975	169
967	4980	164
968	4984	159
969	4988	154
970	4992	149
971	4997	143
972	5001	138
973	5005	133
974	5009	128
975	5013	123
976	5017	118
977	5021	112
978	5025	107
979	5029	102
980	5033	97
981	5037	92
982	5041	87
983	5046	82
984	5050	76
985	5054	71
986	5058	66
987	5062	61
988	5067	56
989	5071	51
990	5075	46
991	5079	40
992	5083	35
993	5088	30
994	5091	25
995	5095	20
996	5100	15
997	5104	10
998	5108	5
999	5112	0
