iter	Logloss
0	0.5883731918
1	0.5474454383
2	0.527416594
3	0.5108068177
4	0.4965841825
5	0.4821812135
6	0.4796793765
7	0.4722287521
8	0.4668057433
9	0.4633004698
10	0.4581585184
11	0.448884369
12	0.4376248452
13	0.4267963085
14	0.4199224053
15	0.4134122567
16	0.3969173586
17	0.3872404435
18	0.3759855768
19	0.371194687
20	0.3656321661
21	0.3620078846
22	0.3546464835
23	0.3498794644
24	0.343638847
25	0.3389887097
26	0.3330966868
27	0.3264931437
28	0.3221616609
29	0.3174403512
30	0.3154703968
31	0.3102567277
32	0.30801483
33	0.3051069449
34	0.2996303886
35	0.2948064815
36	0.290745295
37	0.2858994992
38	0.2805447625
39	0.2789133793
40	0.2743038969
41	0.2687828703
42	0.2665507844
43	0.2622192626
44	0.2578795389
45	0.2550565753
46	0.2503737091
47	0.2472512753
48	0.2432406753
49	0.2410405357
50	0.2356527864
51	0.2328551572
52	0.2296672387
53	0.2282933938
54	0.2269998805
55	0.2239829902
56	0.2197821002
57	0.2176408984
58	0.2169146003
59	0.2151988535
60	0.212975087
61	0.2126668605
62	0.2098211695
63	0.2081535431
64	0.2046959114
65	0.2033031227
66	0.2000230704
67	0.1990092992
68	0.1964916956
69	0.1935676392
70	0.1914757654
71	0.1898975291
72	0.1883437676
73	0.1824491746
74	0.1798584071
75	0.1783802989
76	0.1761954772
77	0.1740076262
78	0.1717958431
79	0.1701310785
80	0.1691110038
81	0.1668412793
82	0.1640918609
83	0.1618530316
84	0.1596949614
85	0.1571543344
86	0.1550731924
87	0.1540740779
88	0.1528075907
89	0.151584304
90	0.1508019335
91	0.1474821751
92	0.1465980772
93	0.145339091
94	0.1434831686
95	0.1423160511
96	0.1401787334
97	0.1383951959
98	0.1351073534
99	0.1330474784
100	0.1319005204
101	0.129136464
102	0.1275546885
103	0.126413427
104	0.1248285912
105	0.1235796145
106	0.122559209
107	0.1212766679
108	0.1185651673
109	0.1170013881
110	0.1155795743
111	0.1140146003
